run,seed,allies,enemies,difficulty,victory_condition,ending,human_victory,turns,score,allies_evacuated,actions,action_log,peak_heap_bytes
run-0672,-6499923378007927346,3391,5000,DEMENTE,JUGADOR_Y_ALIADOS,VICTORIA_ENEMIGA_AGOTAMIENTO,false,31,531,226,230645,run-0672-actions.log.gz,34263992
run-0673,8229347807324030233,3395,1698,MUY_FACIL,SOLO_JUGADOR,VICTORIA_JUGADOR,true,27,11216,1075,130114,run-0673-actions.log.gz,34263992
run-0674,-5688260796105337337,3400,2550,FACIL,JUGADOR_Y_ALIADOS,VICTORIA_TODOS_ALIADOS,true,26,31374,3400,131350,run-0674-actions.log.gz,34788280
run-0675,2540675832576265652,3405,3405,NORMAL,SOLO_JUGADOR,VICTORIA_ALIADA_POST_MORTEM,true,22,22239,2235,123509,run-0675-actions.log.gz,35312568
run-0676,-8912967341480191828,3410,4263,DIFICIL,JUGADOR_Y_ALIADOS,VICTORIA_ALIADA_POST_MORTEM,true,28,21566,2238,193314,run-0676-actions.log.gz,35312568
run-0677,7355610504342802561,3415,5000,MUY_DIFICIL,SOLO_JUGADOR,VICTORIA_ENEMIGA_ELIMINACION,false,26,-11186,0,173788,run-0677-actions.log.gz,35836856
run-0678,3070264454375807097,3420,5000,PESADILLA,JUGADOR_Y_ALIADOS,VICTORIA_ENEMIGA_ELIMINACION,false,26,-11206,0,186782,run-0678-actions.log.gz,35836856
run-0679,-681257048433437522,3425,5000,DEMENTE,SOLO_JUGADOR,VICTORIA_ENEMIGA_AGOTAMIENTO,false,29,503,228,214489,run-0679-actions.log.gz,36361144
run-0680,-7355569772744712610,3430,1715,MUY_FACIL,JUGADOR_Y_ALIADOS,VICTORIA_ENEMIGA_AGOTAMIENTO,false,30,-2462,228,139912,run-0680-actions.log.gz,36885432
run-0681,-7737332394630976259,3435,2576,FACIL,SOLO_JUGADOR,VICTORIA_JUGADOR,true,27,14259,1088,137610,run-0681-actions.log.gz,36885432
run-0682,6823253039635861002,3440,3440,NORMAL,JUGADOR_Y_ALIADOS,VICTORIA_TODOS_ALIADOS,true,34,33426,3440,190956,run-0682-actions.log.gz,37409720
run-0683,3949285569074237979,3444,4305,DIFICIL,SOLO_JUGADOR,VICTORIA_ALIADA_POST_MORTEM,true,22,23794,2260,144088,run-0683-actions.log.gz,37934008
